Variable,Description,Response_Values,Sheet_Source
Q6_7_7N,Reasons took antenatal leave--Difficulty in carrying out work due to pregnancy,"1=selected, 0=not selected",created_vars
Q6_7_8N,Reasons took antenatal leave--Other,"1=selected, 0=not selected",created_vars
Q6_7_9N,Reasons took antenatal leave--Laid off for another reason,"1=selected, 0=not selected",created_vars
Q6_7_15N,Reasons took antenatal leave--wanted to rest before the baby came,"1=selected, 0=not selected",created_vars
Q6_7_16N,Reasons took antenatal leave--thought it would be better for baby's health,"1=selected, 0=not selected",created_vars
Q7_11_1N,Source of postpartum leave pay-- sick days,"1=selected, 0=not selected",created_vars
Q7_11_2N,Source of postpartum leave pay-- vacation time,"1=selected, 0=not selected",created_vars
Q7_11_3N,Source of postpartum leave pay-- PTO,"1=selected, 0=not selected",created_vars
Q7_11_4N,Source of postpartum leave pay-- private disability insurance,"1=selected, 0=not selected",created_vars
Q7_11_5N,Source of postpartum leave pay--employer gave extra paid time off for maternity leave,"1=selected, 0=not selected",created_vars
Q7_11_6N,Source of postpartum leave pay--SDI,"1=selected, 0=not selected",created_vars
Q7_8_1N,Reasons influencing amount of postpartum leave--collect pregnancy disability pay through SDI,"1=selected, 0=not selected",created_vars
Q7_8_2N,Reasons influencing amount of postpartum leave-- employer offered maternity leave benefits,"1=selected, 0=not selected",created_vars
Q7_8_3N,Reasons influencing amount of postpartum leave--Other,"1=selected, 0=not selected",created_vars
Q7_8_4N,Reasons influencing amount of postpartum leave--wanted more time to breastfeed baby,"1=selected, 0=not selected",created_vars
Q7_8_5N,Reasons influencing amount of postpartum leave--wanted more bonding time with baby,"1=selected, 0=not selected",created_vars
Q7_8_7N,Reasons influencing amount of postpartum leave--wanted to save on child care costs,"1=selected, 0=not selected",created_vars
Q7_8_9N,Reasons influencing amount of postpartum leave--wanted to return to work,"1=selected, 0=not selected",created_vars
Q7_8_10N,Reasons influencing amount of postpartum leave--employer wanted me to return to work,"1=selected, 0=not selected",created_vars
Q7_8_11N,Reasons influencing amount of postpartum leave--couldn't afford to take more time off,"1=selected, 0=not selected",created_vars
