contry;exp.grp;time;gender;date.birth;prof;drug.use;art.gen;art.cli;def.rct;def.ss;understand;confident1;vocabhard;adapted;full.text;Bbetter;Nbetter;NequalB;Nfound;Bfound;Nfirst;Bfirst;Afirst;Agood.N;Agood.B;Agood.A;Agood.stop;Abad.N;Abad.B;Abad.A;Abad.stop;confident2;impact;similar;want.results
UK;Spin006;03/06/2017 - 13:41;F;1990-1999;Undergraduate student;Yes;11 to 20;11 to 20;4;4;6;6;6;6;7;2;6;2;6;3;6;3;4;4;4;6;4;6;3;3;3;5;5;5;Yes
FR;Spin004;29/04/2017 - 13:29;F;1990-1999;Health student;Yes;20plus;11 to 20;6;6;6;6;4;5;3;1;6;3;7;4;2;2;2;3;2;6;5;6;4;3;4;4;3;5;No
FR;Spin004;26/04/2017 - 22:15;M;1990-1999;Health student;No;1 to 5;1 to 5;6;6;7;7;1;5;5;2;7;2;7;5;5;4;4;5;4;3;3;6;5;1;6;3;3;7;Yes
FR;NoSpin006;13/06/2017 - 13:06;F;1990-1999;Other student;No;1 to 5;1 to 5;4;5;6;5;3;7;1;2;1;7;3;4;5;6;1;4;5;2;1;6;7;1;1;5;3;6;No
FR;Spin004;02/05/2017 - 22:11;F;1990-1999;Health student;Yes;6 to 10;6 to 10;7;7;7;7;1;7;4;1;7;1;7;1;7;1;1;7;1;1;7;7;1;1;7;4;7;6;Yes
FR;Spin006;29/05/2017 - 14:23;F;1990-1999;Health student;Yes;6 to 10;1less;7;7;7;7;1;5;7;1;7;1;6;5;5;5;5;5;3;5;2;5;3;1;5;6;5;5;Yes
FR;NoSpin004;03/05/2017 - 18:20;M;1990-1999;Health student;Yes;6 to 10;6 to 10;7;7;7;7;1;7;7;1;7;1;7;1;7;1;1;7;1;7;1;7;1;1;1;5;4;7;Yes
FR;NoSpin004;25/04/2017 - 17:45;F;1990-1999;Health student;Yes;NA;6 to 10;6;6;6;6;1;7;1;1;7;1;7;4;6;5;7;1;1;7;1;7;6;1;5;5;4;5;No
FR;Spin004;29/05/2017 - 17:13;F;1990-1999;Health student;No;1 to 5;1 to 5;7;6;7;7;6;6;2;1;7;1;7;1;3;1;1;5;2;4;7;4;3;1;6;5;1;4;Yes
FR;NoSpin004;28/04/2017 - 09:20;F;1990-1999;Health student;Yes;6 to 10;6 to 10;4;7;6;6;2;7;1;1;7;2;5;6;7;6;7;7;1;6;7;7;1;2;7;6;6;6;Yes
FR;NoSpin004;29/05/2017 - 14:10;F;1990-1999;Health student;Yes;6 to 10;1 to 5;7;7;6;6;4;7;3;1;7;1;7;3;5;1;1;6;4;4;7;6;5;1;7;6;6;4;Yes
FR;Spin004;06/06/2017 - 08:55;F;1990-1999;Health student;No;1 to 5;1 to 5;7;7;4;4;5;5;3;2;6;2;7;1;3;3;6;4;1;5;3;6;3;2;4;4;4;7;Yes
FR;Spin006;31/05/2017 - 12:52;F;1990-1999;Health student;Yes;1 to 5;1less;2;2;7;6;4;6;1;1;7;1;7;2;7;2;5;6;4;7;1;6;3;1;5;4;3;6;Yes
FR;NoSpin004;05/06/2017 - 17:19;F;1990-1999;Health student;Yes;1 to 5;1 to 5;5;5;6;6;2;6;5;1;7;1;6;4;5;2;2;5;1;3;2;5;2;1;5;4;4;7;No
FR;Spin004;27/04/2017 - 14:52;F;1990-1999;Health student;Yes;11 to 20;11 to 20;5;5;5;4;5;4;2;1;7;1;7;3;7;2;6;6;2;4;1;7;3;1;1;6;5;6;Yes
FR;NoSpin004;31/05/2017 - 11:50;F;1990-1999;Health student;Yes;6 to 10;6 to 10;6;7;7;7;2;5;6;1;7;4;7;5;7;5;3;5;3;7;1;7;5;1;1;7;1;6;Yes
FR;NoSpin006;25/04/2017 - 16:40;F;1990-1999;Health student;Yes;NA;6 to 10;7;7;7;7;1;5;7;1;1;1;6;6;6;5;1;6;6;1;1;6;6;1;1;4;4;4;Yes
FR;NoSpin006;25/04/2017 - 16:45;M;1990-1999;Health student;Yes;NA;1 to 5;7;7;7;7;2;1;7;1;1;1;4;4;4;4;4;4;4;7;4;6;6;1;6;3;4;6;Yes
FR;NoSpin004;02/05/2017 - 07:38;F;1990-1999;Health student;Yes;1 to 5;1 to 5;7;7;7;7;1;7;1;1;7;1;7;1;7;1;1;7;1;1;1;7;1;1;1;7;7;7;Yes
FR;NoSpin006;13/06/2017 - 13:43;F;1990-1999;Health student;No;6 to 10;1less;3;6;5;5;3;7;1;1;1;6;3;3;3;3;6;3;3;5;3;5;5;2;3;4;3;6;Yes
FR;NoSpin004;01/05/2017 - 15:01;F;1990-1999;Health student;No;6 to 10;6 to 10;7;7;7;7;1;7;6;1;7;1;5;1;5;1;6;4;1;5;1;5;1;3;1;4;4;7;Yes
FR;NoSpin006;25/04/2017 - 16:35;F;1990-1999;Health student;No;NA;11 to 20;7;7;7;7;1;6;5;1;1;7;4;4;7;7;7;1;1;7;1;7;7;1;1;2;1;2;Yes
FR;Spin006;08/05/2017 - 20:56;F;1990-1999;Health student;Yes;6 to 10;6 to 10;5;6;7;7;6;6;6;1;7;1;7;7;1;1;7;1;1;7;1;7;1;1;1;6;3;7;No
FR;NoSpin004;26/04/2017 - 23:20;F;1990-1999;Health student;No;11 to 20;1 to 5;7;6;7;7;1;6;4;1;7;1;5;3;2;1;3;3;3;4;5;5;4;1;5;6;4;5;Yes
FR;Spin006;26/04/2017 - 21:12;F;1990-1999;Health student;Yes;1 to 5;1 to 5;7;6;6;6;3;5;2;2;6;2;4;4;1;1;5;1;1;6;1;7;7;1;1;1;1;1;No
FR;Spin006;13/06/2017 - 13:14;F;1990-1999;Health student;Yes;11 to 20;11 to 20;2;3;6;5;6;7;3;2;6;2;6;3;7;4;5;6;1;6;5;6;4;3;4;5;4;6;Yes
FR;Spin004;25/04/2017 - 17:09;F;1990-1999;Health student;Yes;NA;1 to 5;5;5;7;6;2;3;3;1;7;1;6;2;6;3;7;6;2;7;1;7;3;3;3;5;3;4;No
FR;NoSpin006;03/05/2017 - 15:00;F;1990-1999;Health student;Yes;11 to 20;11 to 20;6;6;7;7;1;4;7;1;1;4;6;6;6;6;2;6;6;4;1;7;7;1;1;5;6;7;Yes
FR;NoSpin004;25/04/2017 - 17:19;F;1990-1999;Health student;Yes;NA;1less;7;4;7;7;2;7;2;1;6;3;6;4;7;1;2;7;7;1;7;1;1;1;7;6;5;7;No
FR;Spin006;25/04/2017 - 21:21;F;1990-1999;Health student;Yes;NA;1 to 5;7;7;7;7;1;5;7;1;1;1;6;6;6;6;7;4;4;6;1;6;6;1;2;5;4;5;Yes
FR;NoSpin004;06/06/2017 - 13:41;F;1990-1999;Health student;Yes;1 to 5;1 to 5;7;6;7;6;3;7;4;1;6;3;7;4;4;4;7;1;1;7;6;6;4;1;6;6;4;5;Yes
FR;Spin006;30/04/2017 - 21:05;F;1990-1999;Health student;Yes;1 to 5;1 to 5;7;7;7;7;1;4;7;1;6;6;7;4;2;1;7;1;1;7;1;5;3;1;4;3;4;7;No
FR;NoSpin004;25/04/2017 - 20:17;M;1990-1999;Health student;Yes;NA;1 to 5;7;7;7;7;2;6;2;1;7;1;7;4;3;3;3;2;2;2;4;3;1;1;1;3;3;6;Yes
FR;NoSpin004;05/05/2017 - 12:57;M;1990-1999;Health student;Yes;11 to 20;6 to 10;7;7;7;7;1;6;4;2;6;2;6;3;6;4;7;5;4;7;1;7;5;3;1;4;2;6;Yes
FR;NoSpin006;01/06/2017 - 08:01;F;1990-1999;Health student;No;1 to 5;1less;5;7;7;7;1;5;1;1;1;7;1;1;5;5;1;5;5;4;1;5;5;1;1;4;1;4;Yes
FR;NoSpin004;08/05/2017 - 11:53;F;1990-1999;Health student;Yes;6 to 10;6 to 10;7;4;7;6;4;2;5;1;7;1;7;1;1;1;7;4;1;7;1;7;1;1;7;6;4;7;Yes
FR;Spin004;24/05/2017 - 14:20;M;1990-1999;Health student;No;1 to 5;1less;4;4;6;4;5;6;4;1;7;1;7;2;7;3;3;1;1;1;7;7;6;1;7;7;4;5;Yes
UK;Spin006;31/05/2017 - 15:45;F;1990-1999;PhD Student;Yes;20plus;20plus;7;7;7;7;1;7;7;1;7;1;7;1;6;1;7;6;1;7;1;7;1;1;1;7;6;6;Yes
FR;Spin004;26/04/2017 - 08:10;F;1990-1999;Health student;Yes;NA;1less;7;5;7;7;2;7;5;1;7;1;7;4;5;3;7;4;1;4;1;7;4;1;1;7;5;6;Yes
FR;Spin004;30/05/2017 - 06:48;F;1990-1999;Health student;Yes;1less;1less;6;6;5;4;3;3;6;1;7;1;4;1;1;1;7;1;1;7;1;5;1;1;3;2;3;2;Yes
FR;NoSpin006;25/05/2017 - 21:43;F;1990-1999;Health student;Yes;11 to 20;11 to 20;1;4;4;5;6;5;7;2;5;7;7;5;7;6;1;7;6;3;1;7;6;1;1;4;4;5;No
FR;Spin006;24/05/2017 - 13:08;M;1990-1999;Health student;Yes;1less;1less;7;7;7;6;1;4;7;1;1;1;4;4;1;1;1;1;1;5;1;5;3;1;1;2;2;4;Yes
FR;Spin006;01/06/2017 - 23:27;F;1990-1999;Health student;Yes;1 to 5;1less;7;7;7;7;2;6;6;1;7;1;6;2;6;3;7;5;1;7;1;7;1;1;1;6;6;5;Yes
FR;Spin006;09/05/2017 - 19:05;F;1990-1999;Health student;Yes;1 to 5;1 to 5;7;7;7;7;2;7;4;1;7;1;7;3;7;4;4;5;1;6;1;7;1;1;1;6;6;6;Yes
FR;Spin006;27/04/2017 - 14:49;F;1990-1999;Health student;Yes;6 to 10;6 to 10;6;7;7;7;1;6;6;1;6;1;7;5;6;5;7;5;1;7;4;6;2;1;1;4;4;6;Yes
FR;Spin004;12/05/2017 - 14:42;F;1990-1999;Health student;Yes;6 to 10;1 to 5;6;5;7;7;2;3;1;1;7;1;7;1;6;3;6;1;1;7;1;7;3;3;3;7;6;6;Yes
FR;NoSpin006;02/05/2017 - 21:20;M;1990-1999;Health student;Yes;1 to 5;1 to 5;6;6;7;7;1;5;2;1;1;7;4;4;3;3;5;1;1;7;1;6;6;1;1;5;2;3;Yes
FR;NoSpin006;22/05/2017 - 13:16;F;1990-1999;Health student;No;6 to 10;1 to 5;2;7;5;6;6;7;1;1;2;7;6;2;7;5;7;1;1;7;1;7;3;3;1;3;4;5;No
FR;Spin004;03/05/2017 - 07:43;F;1990-1999;Health student;No;1 to 5;1 to 5;7;7;7;7;6;7;1;1;7;1;7;7;7;1;1;7;1;1;1;7;1;1;1;7;7;1;Yes
FR;NoSpin004;24/05/2017 - 09:41;F;1990-1999;Health student;Yes;1less;1 to 5;7;7;7;7;1;7;4;1;7;1;7;3;7;1;4;4;1;7;1;7;1;1;1;5;5;7;Yes
FR;Spin004;25/04/2017 - 17:04;M;1990-1999;Health student;Yes;NA;1 to 5;6;6;7;6;1;6;6;1;7;1;6;3;6;5;6;4;2;7;1;7;5;3;1;6;5;6;Yes
FR;NoSpin006;18/06/2017 - 14:47;F;1990-1999;Health student;Yes;6 to 10;6 to 10;7;6;6;6;3;3;4;1;1;4;6;2;6;4;6;1;1;7;1;6;6;1;1;5;2;4;Yes
FR;NoSpin006;04/05/2017 - 00:32;F;1990-1999;Health student;Yes;11 to 20;11 to 20;7;7;7;7;1;7;4;1;1;1;6;6;5;5;3;4;4;4;1;6;6;1;1;6;5;7;Yes
FR;Spin006;18/05/2017 - 14:13;F;1990-1999;Health student;No;11 to 20;11 to 20;7;7;7;7;1;5;7;1;7;1;7;4;3;3;6;1;1;7;4;4;4;1;7;2;1;7;Yes
FR;Spin006;24/05/2017 - 13:23;M;1990-1999;Health student;Yes;11 to 20;1 to 5;4;4;6;4;1;4;5;2;5;5;5;6;5;4;6;3;3;6;1;6;3;2;2;3;2;5;Yes
FR;NoSpin006;30/04/2017 - 21:33;F;1990-1999;Health student;Yes;6 to 10;6 to 10;7;6;7;6;1;7;5;1;1;7;7;7;5;5;3;5;5;1;3;4;4;1;4;5;3;7;Yes
FR;Spin004;08/05/2017 - 11:36;M;1990-1999;Health student;Yes;1 to 5;1 to 5;7;7;7;6;1;5;4;1;7;1;7;1;5;4;7;5;3;5;7;6;5;1;4;5;4;6;No
FR;Spin004;19/05/2017 - 12:30;F;1990-1999;Health student;Yes;20plus;1 to 5;7;7;7;7;1;1;7;3;6;3;6;4;6;3;5;2;2;7;2;6;4;1;2;4;5;6;Yes
FR;NoSpin006;19/05/2017 - 16:40;F;1990-1999;Health student;No;6 to 10;1 to 5;7;7;7;7;1;7;6;1;1;7;5;3;3;3;5;2;2;6;3;5;4;2;2;4;4;7;Yes
FR;NoSpin004;01/05/2017 - 14:16;M;1990-1999;Health student;Yes;6 to 10;6 to 10;7;7;7;7;1;7;5;1;7;1;7;1;7;1;1;1;1;7;1;7;1;1;1;5;5;7;Yes
FR;NoSpin006;29/05/2017 - 21:30;F;1990-1999;Health student;Yes;1 to 5;1 to 5;7;7;7;7;2;3;5;1;1;2;6;6;3;3;7;1;1;7;1;6;6;1;3;3;4;4;Yes
FR;NoSpin006;14/05/2017 - 16:39;M;1990-1999;Health student;Yes;1 to 5;1 to 5;7;7;7;7;1;7;3;1;1;7;7;7;7;7;1;7;7;1;6;7;7;1;6;5;5;4;No
FR;NoSpin006;12/05/2017 - 21:40;F;1990-1999;Health student;Yes;1less;1less;5;7;7;7;1;3;1;1;4;5;7;1;1;1;7;1;1;7;1;7;4;1;1;1;1;7;No
FR;Spin006;28/04/2017 - 17:06;F;1990-1999;Health student;Yes;1 to 5;1less;3;2;7;7;6;7;3;1;7;1;7;1;5;1;4;6;1;1;1;6;1;1;1;4;3;5;Yes
FR;NoSpin006;23/05/2017 - 18:08;F;1990-1999;Health student;Yes;6 to 10;6 to 10;7;7;7;7;1;6;4;1;1;1;6;6;5;4;1;6;6;6;2;7;7;1;2;4;4;5;No
FR;NoSpin004;12/05/2017 - 15:35;F;1990-1999;Health student;No;1 to 5;1 to 5;7;7;7;7;1;5;1;1;7;4;5;4;1;1;1;3;2;4;7;5;5;1;7;5;1;7;No
FR;NoSpin004;22/05/2017 - 17:41;F;1990-1999;Health student;No;11 to 20;1 to 5;6;7;6;6;2;7;1;1;7;1;7;2;4;1;4;4;1;3;6;5;1;1;6;3;3;6;No
FR;Spin006;09/05/2017 - 17:02;M;1990-1999;Health student;Yes;6 to 10;6 to 10;7;7;7;7;1;7;7;1;7;1;7;5;7;4;5;1;1;7;1;7;6;1;1;3;3;6;Yes
FR;Spin004;25/04/2017 - 20:14;F;1990-1999;Health student;Yes;NA;1 to 5;6;6;7;7;1;6;7;1;1;1;7;6;5;5;7;4;4;7;4;7;7;6;1;1;1;7;Yes
FR;Spin006;25/04/2017 - 21:29;M;1990-1999;Health student;No;NA;20plus;7;7;7;7;1;2;7;3;6;1;6;6;7;5;6;5;3;7;1;7;5;2;1;6;6;7;Yes
FR;Spin006;29/04/2017 - 21:18;M;1990-1999;Health student;Yes;11 to 20;11 to 20;7;7;7;6;1;6;7;1;3;6;6;5;2;2;7;1;1;7;2;6;6;3;1;4;1;6;Yes
FR;NoSpin006;03/06/2017 - 19:06;F;1990-1999;Health student;No;1 to 5;1 to 5;6;6;7;4;3;7;5;1;1;7;6;5;6;6;4;5;5;3;7;6;6;3;3;7;7;7;Yes
FR;Spin006;29/04/2017 - 15:25;F;1990-1999;Health student;No;1less;1less;6;5;7;6;2;5;4;3;4;4;6;3;4;6;6;3;2;6;2;6;5;2;6;4;4;6;Yes
FR;NoSpin004;21/05/2017 - 09:57;F;1990-1999;Health student;Yes;11 to 20;6 to 10;7;7;7;7;2;7;7;1;7;4;7;2;7;1;6;7;1;4;1;7;5;1;1;7;7;7;Yes
FR;NoSpin004;09/05/2017 - 17:32;M;1990-1999;Health student;Yes;6 to 10;6 to 10;6;5;7;6;2;5;7;2;6;3;6;4;6;4;6;1;1;7;1;6;5;1;1;5;4;6;No
FR;NoSpin004;16/05/2017 - 16:15;F;1990-1999;Health student;Yes;6 to 10;11 to 20;7;6;6;5;5;7;1;1;7;1;1;7;7;3;4;1;1;7;1;7;1;1;1;7;4;6;Yes
FR;Spin004;08/05/2017 - 11:23;F;1990-1999;Health student;No;1 to 5;1less;6;7;7;7;2;6;1;1;6;3;5;2;3;1;4;2;1;4;7;5;1;3;7;6;3;4;No
FR;NoSpin006;23/05/2017 - 19:59;F;1990-1999;Health student;No;11 to 20;1 to 5;7;7;7;6;2;7;1;1;1;7;5;5;5;5;2;2;2;5;1;6;6;1;2;6;6;6;Yes
FR;NoSpin004;17/05/2017 - 13:38;F;1990-1999;Health student;No;1 to 5;1 to 5;6;5;6;6;1;4;2;1;6;2;5;2;2;1;2;2;1;7;5;5;1;2;5;5;2;1;Yes
FR;NoSpin004;27/04/2017 - 18:57;F;1990-1999;Other student;Yes;6 to 10;1less;7;5;7;7;1;6;7;2;7;3;7;5;7;5;1;6;6;1;2;7;6;1;1;6;6;6;Yes
FR;NoSpin004;11/05/2017 - 11:34;F;1990-1999;Health student;No;1 to 5;1 to 5;7;7;7;6;6;7;7;1;7;1;7;1;1;1;7;5;1;1;3;7;5;1;1;6;5;7;No
FR;NoSpin004;01/05/2017 - 14:03;F;1990-1999;Health student;Yes;6 to 10;1less;7;6;6;7;2;1;7;1;7;1;7;1;1;1;7;1;1;7;1;7;1;1;1;7;3;5;Yes
FR;Spin004;03/06/2017 - 10:24;F;1990-1999;Health student;No;1less;1less;3;6;7;6;3;6;4;1;7;1;7;2;6;3;7;5;2;6;5;6;3;2;5;6;6;7;Yes
FR;NoSpin004;25/04/2017 - 19:29;F;1990-1999;Health student;Yes;NA;1less;2;4;7;6;2;6;1;1;7;1;4;4;4;1;7;1;1;4;7;7;4;1;7;1;7;7;No
FR;Spin006;15/05/2017 - 17:51;F;1990-1999;Health student;No;1less;1less;7;7;6;6;3;6;5;1;6;2;7;4;6;4;1;6;4;1;7;6;5;1;7;5;3;6;Yes
FR;NoSpin004;09/05/2017 - 11:56;M;1990-1999;Health student;No;6 to 10;6 to 10;6;6;7;7;1;6;7;1;6;2;6;5;6;2;6;4;3;7;1;7;5;1;1;5;2;6;Yes
FR;Spin006;19/05/2017 - 16:02;M;1990-1999;Health student;Yes;6 to 10;1 to 5;6;5;7;7;1;7;5;1;7;1;7;1;6;2;3;3;1;6;2;6;2;1;5;6;5;5;Yes
FR;Spin006;28/04/2017 - 10:15;F;1990-1999;Health student;Yes;6 to 10;6 to 10;7;7;7;7;2;4;4;1;7;1;7;1;7;1;4;7;1;1;1;7;1;1;1;1;1;7;No
FR;Spin004;30/05/2017 - 20:31;F;1990-1999;Health student;Yes;1 to 5;1less;7;6;7;7;1;6;3;1;5;3;5;5;3;3;6;3;3;7;1;6;2;2;1;4;5;7;No
FR;Spin004;20/05/2017 - 18:19;F;1990-1999;Health student;Yes;6 to 10;6 to 10;4;4;6;5;4;6;3;1;7;1;7;2;7;4;7;6;4;7;1;7;4;1;3;5;5;5;No
FR;NoSpin004;08/06/2017 - 18:41;F;1990-1999;Health student;Yes;1less;1less;6;5;7;5;2;7;5;2;6;1;7;1;1;1;7;4;4;4;1;6;6;1;1;5;4;1;Yes
FR;NoSpin004;25/04/2017 - 16:43;F;1990-1999;Health student;Yes;NA;1less;7;7;7;7;1;7;6;1;7;1;7;5;6;5;7;4;2;7;4;7;5;2;5;7;5;5;Yes
FR;NoSpin006;26/04/2017 - 09:48;F;1990-1999;Health student;Yes;NA;1less;7;7;7;6;2;7;4;1;1;7;4;4;4;4;7;4;4;4;1;7;7;1;1;3;5;7;Yes
FR;NoSpin004;02/05/2017 - 08:18;F;1990-1999;Health student;Yes;20plus;1 to 5;7;7;7;7;1;4;4;1;7;1;7;1;7;1;1;1;1;7;1;7;1;1;1;6;6;4;Yes
FR;Spin004;27/04/2017 - 06:40;F;1990-1999;Health student;No;1 to 5;1 to 5;6;6;6;6;2;6;6;1;7;1;7;5;3;1;2;3;1;5;3;7;1;2;6;4;5;7;Yes
FR;NoSpin004;27/04/2017 - 14:36;F;1990-1999;Health student;No;1 to 5;1less;7;7;7;7;2;7;2;1;7;4;7;2;5;1;1;3;1;7;1;6;2;1;1;6;6;7;Yes
FR;NoSpin004;25/04/2017 - 16:01;F;1990-1999;Health student;Yes;NA;1less;5;4;6;5;3;7;4;1;7;2;6;2;5;1;6;6;1;7;1;7;1;1;1;6;7;2;Yes
FR;Spin006;07/05/2017 - 17:53;M;1990-1999;Health student;Yes;20plus;1 to 5;7;7;6;7;6;5;4;1;4;3;6;3;1;1;6;1;1;6;1;4;3;4;1;2;1;4;Yes
FR;NoSpin004;02/05/2017 - 09:45;M;1990-1999;Health student;Yes;1 to 5;1less;7;4;7;6;1;3;7;1;7;5;6;2;4;4;7;5;3;6;2;7;4;1;5;6;5;7;Yes
FR;Spin004;02/05/2017 - 16:55;F;1990-1999;Health student;Yes;1less;1less;7;7;7;7;2;6;1;1;7;1;7;1;7;1;1;4;1;4;1;7;1;2;1;4;4;4;Yes
FR;NoSpin004;04/05/2017 - 13:37;F;1990-1999;Health student;Yes;1 to 5;1less;7;7;7;7;2;7;5;1;7;1;7;1;6;5;6;7;4;5;1;6;7;1;1;5;5;7;Yes
FR;NoSpin006;14/05/2017 - 16:58;M;1990-1999;Health student;No;1less;1less;7;7;7;7;6;6;6;1;1;1;3;3;3;3;6;1;1;7;2;5;5;2;1;4;1;5;Yes
FR;NoSpin006;15/05/2017 - 16:10;F;1990-1999;Health student;Yes;1 to 5;1 to 5;7;7;7;7;2;7;3;1;1;7;4;4;4;4;4;3;3;5;6;5;5;1;5;7;6;7;Yes
FR;Spin004;13/06/2017 - 14:49;F;1990-1999;Health student;Yes;1 to 5;1less;7;7;6;4;2;6;1;1;7;1;7;2;5;1;3;2;1;6;5;7;6;1;1;7;6;7;Yes
FR;NoSpin006;12/05/2017 - 15:32;F;1990-1999;Health student;Yes;1less;1less;6;6;6;6;4;6;2;1;1;7;6;6;6;6;2;5;5;4;7;6;6;1;6;6;6;6;No
FR;Spin004;30/04/2017 - 13:53;M;1990-1999;Health student;No;1less;1less;5;5;4;3;4;6;2;1;7;2;7;2;1;1;1;1;1;5;6;6;1;1;6;5;5;6;Yes
FR;NoSpin004;01/05/2017 - 18:02;M;1990-1999;Health student;Yes;1 to 5;1 to 5;6;6;6;6;6;7;7;1;7;1;7;1;7;3;4;7;3;2;1;7;3;1;1;6;7;4;Yes
FR;Spin004;01/05/2017 - 14:09;M;1990-1999;Health student;Yes;1 to 5;1 to 5;5;6;7;7;1;3;6;2;6;3;6;3;3;3;7;1;1;7;4;7;2;1;4;1;1;7;No
FR;NoSpin006;20/05/2017 - 19:53;F;1990-1999;Health student;Yes;1 to 5;1 to 5;4;5;6;4;6;6;3;1;1;7;5;4;6;5;1;5;4;1;1;6;5;1;1;5;4;3;No
FR;Spin006;25/04/2017 - 17:15;F;1990-1999;Health student;Yes;NA;1 to 5;7;6;6;7;3;7;6;2;6;2;6;2;7;5;3;6;5;4;2;7;6;1;2;6;5;6;Yes
FR;Spin006;01/05/2017 - 23:23;F;1990-1999;Health student;Yes;1 to 5;1 to 5;6;6;6;6;2;5;6;1;7;1;3;2;5;3;6;2;2;2;7;3;3;1;7;4;5;5;Yes
FR;NoSpin006;04/05/2017 - 11:29;F;1990-1999;Health student;No;1 to 5;1less;6;6;7;6;2;7;2;1;1;7;7;7;7;7;7;7;7;1;1;7;7;1;1;6;6;4;Yes
FR;NoSpin004;27/04/2017 - 21:46;F;1990-1999;Health student;No;1 to 5;1less;7;7;7;7;1;2;6;1;7;1;7;5;6;1;1;1;1;6;4;6;4;1;4;5;5;3;Yes
FR;Spin004;08/05/2017 - 20:46;F;1990-1999;Health student;Yes;1 to 5;1 to 5;5;5;7;7;1;7;5;1;7;4;6;5;1;1;7;6;4;4;1;5;3;4;1;4;4;4;Yes
FR;Spin006;04/05/2017 - 08:15;F;1990-1999;Health student;Yes;1less;1less;5;2;7;6;1;7;3;1;7;1;7;1;7;1;7;7;1;4;1;7;1;1;1;7;7;7;No
FR;Spin004;08/05/2017 - 13:56;F;1990-1999;Health student;No;1 to 5;1less;4;4;6;6;2;7;7;1;7;1;7;3;4;4;4;1;1;6;1;6;2;2;2;4;2;2;Yes
FR;NoSpin006;25/04/2017 - 17:16;F;1990-1999;Health student;Yes;NA;1less;7;7;7;7;1;7;4;1;1;7;4;4;4;4;6;4;4;2;5;6;6;1;5;3;6;4;Yes
FR;NoSpin006;25/04/2017 - 20:58;F;1990-1999;Health student;Yes;NA;1less;7;7;7;7;1;7;7;1;1;7;7;6;7;6;1;7;7;1;4;7;7;1;7;6;4;7;Yes
FR;Spin006;04/05/2017 - 10:28;F;1990-1999;Health student;Yes;6 to 10;1 to 5;7;7;7;7;1;7;3;1;7;1;7;1;7;1;3;7;1;3;1;7;1;1;1;5;1;6;Yes
FR;Spin006;14/05/2017 - 17:24;F;1990-1999;Health student;Yes;1 to 5;1 to 5;6;5;7;7;6;7;4;1;5;2;6;5;6;4;2;3;2;7;1;6;4;1;1;6;6;7;Yes
FR;Spin006;13/05/2017 - 19:26;F;1990-1999;Health student;No;1 to 5;1 to 5;4;5;7;6;2;7;6;3;6;3;6;3;7;5;6;5;3;7;2;6;2;2;2;3;3;5;Yes
FR;Spin004;10/05/2017 - 11:56;F;1990-1999;Health student;Yes;6 to 10;1 to 5;3;5;7;7;2;5;6;1;7;4;7;2;7;1;3;6;1;5;2;7;1;3;6;7;7;1;Yes
FR;Spin006;14/06/2017 - 21:20;F;1990-1999;Health student;No;1 to 5;1less;7;7;7;7;1;5;7;1;7;1;7;1;6;1;4;6;1;6;1;7;1;1;1;6;7;7;Yes
FR;Spin004;15/05/2017 - 12:12;M;1990-1999;Health student;Yes;1less;1 to 5;7;7;7;5;1;6;2;1;7;1;7;3;7;4;7;7;1;5;1;7;1;1;5;5;5;6;Yes
FR;NoSpin006;17/05/2017 - 09:57;F;1990-1999;Health student;Yes;1 to 5;1less;1;1;7;4;6;4;1;1;1;7;1;1;1;1;7;1;1;7;1;1;7;1;1;4;2;6;No
FR;NoSpin004;29/05/2017 - 14:21;F;1990-1999;Health student;Yes;1 to 5;1 to 5;7;7;7;7;6;7;4;1;7;1;7;1;7;2;4;7;1;3;1;7;1;1;1;6;4;4;No
FR;Spin004;12/05/2017 - 16:53;M;1990-1999;Health student;Yes;1 to 5;1 to 5;6;6;6;6;1;6;4;1;7;1;7;3;7;6;2;1;1;7;1;7;2;1;1;6;6;7;Yes
FR;Spin004;09/05/2017 - 13:40;F;1990-1999;Health student;Yes;1 to 5;1 to 5;7;6;7;7;1;7;4;1;7;1;7;4;7;1;6;6;1;5;1;7;5;1;1;6;6;6;Yes
FR;Spin004;03/06/2017 - 08:11;F;1990-1999;Health student;Yes;1 to 5;1less;7;7;7;6;2;7;6;1;7;1;7;1;7;1;1;7;1;1;1;7;1;1;1;7;7;7;Yes
FR;NoSpin004;25/04/2017 - 16:15;F;1990-1999;Health student;No;NA;1 to 5;7;5;6;5;2;6;4;1;7;1;7;1;7;1;3;3;1;6;3;7;4;1;3;7;5;5;Yes
FR;Spin006;27/04/2017 - 10:10;M;1990-1999;Health student;Yes;11 to 20;6 to 10;7;7;7;7;2;5;7;3;5;4;6;5;6;5;4;4;2;6;1;6;2;1;1;3;2;7;Yes
FR;Spin004;13/05/2017 - 09:01;F;1990-1999;Health student;No;1 to 5;1 to 5;7;7;7;6;6;7;5;4;4;7;7;5;2;2;7;2;2;6;1;7;6;3;2;7;6;6;No
FR;NoSpin004;08/05/2017 - 08:04;M;1990-1999;Health student;No;1less;1less;7;7;7;6;1;7;3;1;7;1;6;3;6;2;4;4;1;6;1;6;2;2;2;6;5;5;Yes
FR;Spin004;31/05/2017 - 16:42;F;1990-1999;Health student;Yes;1less;1less;4;3;7;7;1;7;2;1;7;1;7;1;7;1;7;4;1;4;4;4;1;1;4;7;7;4;Yes
